Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD37903,85.409937,-2.25914,2014-10-28T08:01:03.578,860,7564.1,7689.8,/HD37903/RED_860/HD37903_w860_redl_20141028_O12.fits
HD37903,85.409975,-2.25889,2018-03-17T01:02:38.317,860,7564.3,7689.9,/HD37903/RED_860/HD37903_w860_redl_20180317_O12.fits
HD37903,85.409869,-2.25867,2014-10-02T07:54:22.632,860,7564.1,7689.8,/HD37903/RED_860/HD37903_w860_redl_20141002_O12.fits
HD 143275,240.083303,-22.62169,2015-07-20T23:35:28.188,860,7564.3,7689.9,/HD143275/RED_860/HD143275_w860_redl_20150720_O12.fits
HD152424,253.76402,-42.09148,2016-04-11T05:51:18.333,860,7564.3,7689.9,/HD152424/RED_860/HD152424_w860_redl_20160411_O12.fits
HD 149038,248.521292,-44.0459,2015-07-02T02:23:34.141,860,7564.3,7689.9,/HD149038/RED_860/HD149038_w860_redl_20150702_O12.fits
HD 149038,248.52162,-44.04539,2016-02-22T08:22:38.849,860,7564.3,7689.9,/HD149038/RED_860/HD149038_w860_redl_20160222_O12.fits
HD185418,294.614194,17.25682,2014-09-23T01:59:21.759,860,7564.1,7689.8,/HD185418/RED_860/HD185418_w860_redl_20140923_O12.fits
HD185418,294.615167,17.25723,2014-09-24T01:37:53.939,860,7564.1,7689.8,/HD185418/RED_860/HD185418_w860_redl_20140924_O12.fits
HD36822,83.70518,9.48939,2014-10-10T05:54:35.608,860,7564.1,7689.8,/HD36822/RED_860/HD36822_w860_redl_20141010_O12.fits
HD147084,245.158936,-24.16994,2016-04-03T09:08:32.691,860,7564.3,7690,/HD147084/RED_860/HD147084_w860_redl_20160403_O12.fits
HD147084,245.159246,-24.16992,2016-04-19T05:54:49.152,860,7564.3,7689.9,/HD147084/RED_860/HD147084_w860_redl_20160419_O12.fits
HD101065,174.403534,-46.70969,2017-04-24T05:09:07.543,860,7564.3,7689.9,/HD101065/RED_860/HD101065_w860_redl_20170424_O12.fits
HD 164073,270.502311,-48.81051,2016-09-13T02:59:05.315,860,7564.3,7689.9,/HD164073/RED_860/HD164073_w860_redl_20160913_O12.fits
HD152248,253.542049,-41.8258,2017-05-09T02:34:56.432,860,7564.3,7689.9,/HD152248/RED_860/HD152248_w860_redl_20170509_O12.fits
HD 124314,213.756382,-61.7074,2017-05-02T03:02:07.656,860,7564.3,7690,/HD124314/RED_860/HD124314_w860_redl_20170502_O12.fits
HD 124314,213.757146,-61.70741,2017-04-20T06:42:45.468,860,7564.3,7689.9,/HD124314/RED_860/HD124314_w860_redl_20170420_O12.fits
HD34748,79.89692,-1.41173,2016-08-21T08:44:04.894,860,7564.3,7689.9,/HD34748/RED_860/HD34748_w860_redl_20160821_O12.fits
HD166937,273.44054,-21.0595,2017-05-21T09:25:27.389,860,7564.3,7689.9,/HD166937/RED_860/HD166937_w860_redl_20170521_O12.fits
HD 135591,229.70551,-60.4965,2016-02-22T06:09:49.128,860,7564.3,7689.9,/HD135591/RED_860/HD135591_w860_redl_20160222_O12.fits
HD 135591,229.705715,-60.49568,2015-07-01T00:44:20.435,860,7564.3,7689.9,/HD135591/RED_860/HD135591_w860_redl_20150701_O12.fits
HD36861,83.784575,9.93411,2014-10-29T06:03:00.853,860,7564.1,7689.8,/HD36861/RED_860/HD36861_w860_redl_20141029_O12.fits
HD36861,83.784442,9.93427,2016-02-22T03:06:41.092,860,7564.3,7689.9,/HD36861/RED_860/HD36861_w860_redl_20160222_O12.fits
HD 155806,258.830644,-33.549,2015-07-19T23:51:21.878,860,7564.3,7689.9,/HD155806/RED_860/HD155806_w860_redl_20150719_O12.fits
HD 155806,258.830644,-33.549,2015-07-20T00:10:22.455,860,7564.3,7689.9,/HD155806/RED_860/HD155806_w860_redl_20150720_O12.fits
HD68273,122.383442,-47.33651,2018-09-30T09:13:59.303,860,7564.3,7689.9,/HD68273/RED_860/HD68273_w860_redl_20180930_O12.fits
HD 172694,280.569468,-15.85532,2015-09-12T01:46:22.114,860,7564.3,7689.9,/HD172694/RED_860/HD172694_w860_redl_20150912_O12.fits
HD93030,160.73871,-64.39433,2014-12-10T06:19:44.977,860,7564.1,7689.8,/HD93030/RED_860/HD93030_w860_redl_20141210_O12.fits
HD 61827,114.955441,-32.57851,2018-03-17T02:00:31.578,860,7564.3,7689.9,/HD61827/RED_860/HD61827_w860_redl_20180317_O12.fits
HD183143,291.86044,18.29586,2018-09-07T03:18:16.408,860,7564.3,7689.9,/HD183143/RED_860/HD183143_w860_redl_20180907_O12.fits
HD183143,291.861024,18.29532,2018-09-12T03:21:04.524,860,7564.3,7689.9,/HD183143/RED_860/HD183143_w860_redl_20180912_O12.fits
HD164906,271.106979,-24.3859,2017-06-15T08:10:16.855,860,7564.3,7689.9,/HD164906/RED_860/HD164906_w860_redl_20170615_O12.fits
HD164353,270.16171,2.93079,2017-04-14T09:48:23.819,860,7564.3,7689.9,/HD164353/RED_860/HD164353_w860_redl_20170414_O12.fits
HD  36695,83.381095,-1.15609,2015-08-22T09:07:31.830,860,7564.3,7689.9,/HD36695/RED_860/HD36695_w860_redl_20150822_O12.fits
HD161056,265.945734,-7.07978,2017-05-08T07:52:54.533,860,7564.3,7689.9,/HD161056/RED_860/HD161056_w860_redl_20170508_O12.fits
HD 303308,161.274107,-59.66844,2017-05-02T01:04:21.721,860,7564.3,7690,/HD303308/RED_860/HD303308_w860_redl_20170502_O12.fits
HD 303308,161.274721,-59.66846,2017-05-01T04:39:17.231,860,7564.3,7689.9,/HD303308/RED_860/HD303308_w860_redl_20170501_O12.fits
HD 303308,161.274576,-59.6685,2017-04-26T02:09:23.111,860,7564.3,7689.9,/HD303308/RED_860/HD303308_w860_redl_20170426_O12.fits
HD153919,255.986889,-37.84436,2016-09-13T01:56:01.131,860,7564.3,7689.9,/HD153919/RED_860/HD153919_w860_redl_20160913_O12.fits
HD153919,255.986052,-37.84448,2017-05-03T06:35:43.765,860,7564.3,7689.9,/HD153919/RED_860/HD153919_w860_redl_20170503_O12.fits
HD153919,255.987061,-37.84376,2016-08-23T03:54:14.553,860,7564.3,7689.9,/HD153919/RED_860/HD153919_w860_redl_20160823_O12.fits
HD 133518,226.733947,-52.03023,2015-07-03T01:25:25.791,860,7564.3,7689.9,/HD133518/RED_860/HD133518_w860_redl_20150703_O12.fits
HD 133518,226.733053,-52.02978,2015-07-19T23:24:19.110,860,7564.3,7689.9,/HD133518/RED_860/HD133518_w860_redl_20150719_O12.fits
HD167264,273.804119,-20.7284,2016-05-05T04:38:41.491,860,7564.3,7689.9,/HD167264/RED_860/HD167264_w860_redl_20160505_O12.fits
HD167264,273.803842,-20.72857,2014-09-15T02:23:07.454,860,7564.1,7689.8,/HD167264/RED_860/HD167264_w860_redl_20140915_O12.fits
HD167264,273.803359,-20.7276,2016-04-11T06:07:37.549,860,7564.3,7689.9,/HD167264/RED_860/HD167264_w860_redl_20160411_O12.fits
HD167264,273.803477,-20.72882,2014-09-19T23:56:19.249,860,7564.1,7689.9,/HD167264/RED_860/HD167264_w860_redl_20140919_O12.fits
HD167264,273.803477,-20.72882,2014-09-20T00:16:01.060,860,7564.1,7689.8,/HD167264/RED_860/HD167264_w860_redl_20140920_O12.fits
HD 157246,261.35008,-56.37764,2015-07-20T05:10:36.522,860,7564.3,7689.9,/HD157246/RED_860/HD157246_w860_redl_20150720_O12.fits
HD93843,162.157357,-60.22395,2017-04-27T03:10:59.201,860,7564.3,7689.9,/HD93843/RED_860/HD93843_w860_redl_20170427_O12.fits
HD 114886,198.684487,-63.58144,2017-05-02T04:14:16.264,860,7564.3,7690,/HD114886/RED_860/HD114886_w860_redl_20170502_O12.fits
HD37041,83.845305,-5.41598,2014-09-24T07:44:52.610,860,7564.1,7689.8,/HD37041/RED_860/HD37041_w860_redl_20140924_O12.fits
HD94493,163.312796,-60.81485,2015-02-21T07:19:43.894,860,7564.1,7689.9,/HD94493/RED_860/HD94493_w860_redl_20150221_O12.fits
HD94493,163.313031,-60.81495,2016-03-18T05:54:04.243,860,7564.3,7689.9,/HD94493/RED_860/HD94493_w860_redl_20160318_O12.fits
HD165319,271.495228,-14.1985,2018-10-09T01:09:14.309,860,7564.3,7689.9,/HD165319/RED_860/HD165319_w860_redl_20181009_O12.fits
HD165319,271.494688,-14.19847,2018-09-04T01:06:09.380,860,7564.3,7689.9,/HD165319/RED_860/HD165319_w860_redl_20180904_O12.fits
HD149404,249.094213,-42.85972,2018-06-30T01:08:50.920,860,7564.3,7689.9,/HD149404/RED_860/HD149404_w860_redl_20180630_O12.fits
HD149404,249.094649,-42.85959,2017-05-07T02:24:52.198,860,7564.3,7689.9,/HD149404/RED_860/HD149404_w860_redl_20170507_O12.fits
HD40111,89.498435,25.9541,2014-12-14T05:49:24.420,860,7564.1,7689.8,/HD40111/RED_860/HD40111_w860_redl_20141214_O12.fits
HD  40111,89.498728,25.95379,2015-09-28T08:59:38.480,860,7564.3,7689.9,/HD40111/RED_860/HD40111_w860_redl_20150928_O12.fits
HD185859,295.118254,20.47669,2016-09-07T02:13:01.461,860,7564.3,7689.9,/HD185859/RED_860/HD185859_w860_redl_20160907_O12.fits
